feature,importance,fold
OCCUPATION_TYPE_Low_skill_Laborers,13,1
OCCUPATION_TYPE_Managers,0,1
OCCUPATION_TYPE_Medicine_staff,65,1
OCCUPATION_TYPE_Private_service_staff,31,1
OCCUPATION_TYPE_Realty_agents,0,1
OCCUPATION_TYPE_Sales_staff,70,1
OCCUPATION_TYPE_Secretaries,5,1
OCCUPATION_TYPE_Security_staff,10,1
OCCUPATION_TYPE_Waiters_barmen_staff,27,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,99,1
WEEKDAY_APPR_PROCESS_START_MONDAY,81,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,97,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,87,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,25,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,76,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,103,1
ORGANIZATION_TYPE_Advertising,0,1
ORGANIZATION_TYPE_Agriculture,16,1
ORGANIZATION_TYPE_Bank,50,1
ORGANIZATION_TYPE_Business_Entity_Type_1,50,1
ORGANIZATION_TYPE_Business_Entity_Type_2,17,1
ORGANIZATION_TYPE_Business_Entity_Type_3,143,1
ORGANIZATION_TYPE_Cleaning,0,1
ORGANIZATION_TYPE_Construction,104,1
ORGANIZATION_TYPE_Culture,0,1
ORGANIZATION_TYPE_Electricity,17,1
ORGANIZATION_TYPE_Emergency,0,1
ORGANIZATION_TYPE_Government,31,1
ORGANIZATION_TYPE_Hotel,27,1
ORGANIZATION_TYPE_Housing,6,1
ORGANIZATION_TYPE_Industry_type_1,18,1
ORGANIZATION_TYPE_Industry_type_10,0,1
ORGANIZATION_TYPE_Industry_type_11,1,1
ORGANIZATION_TYPE_Industry_type_12,0,1
ORGANIZATION_TYPE_Industry_type_13,0,1
ORGANIZATION_TYPE_Industry_type_2,0,1
ORGANIZATION_TYPE_Industry_type_3,19,1
ORGANIZATION_TYPE_Industry_type_4,6,1
ORGANIZATION_TYPE_Industry_type_5,0,1
ORGANIZATION_TYPE_Industry_type_6,0,1
ORGANIZATION_TYPE_Industry_type_7,0,1
ORGANIZATION_TYPE_Industry_type_8,0,1
ORGANIZATION_TYPE_Industry_type_9,77,1
ORGANIZATION_TYPE_Insurance,0,1
ORGANIZATION_TYPE_Kindergarten,49,1
ORGANIZATION_TYPE_Legal_Services,0,1
ORGANIZATION_TYPE_Medicine,46,1
ORGANIZATION_TYPE_Military,98,1
ORGANIZATION_TYPE_Mobile,0,1
ORGANIZATION_TYPE_Other,23,1
ORGANIZATION_TYPE_Police,55,1
ORGANIZATION_TYPE_Postal,4,1
ORGANIZATION_TYPE_Realtor,0,1
ORGANIZATION_TYPE_Religion,0,1
ORGANIZATION_TYPE_Restaurant,31,1
ORGANIZATION_TYPE_School,53,1
ORGANIZATION_TYPE_Security,6,1
ORGANIZATION_TYPE_Security_Ministries,45,1
ORGANIZATION_TYPE_Self_employed,125,1
ORGANIZATION_TYPE_Services,26,1
ORGANIZATION_TYPE_Telecom,0,1
ORGANIZATION_TYPE_Trade_type_1,0,1
ORGANIZATION_TYPE_Trade_type_2,15,1
ORGANIZATION_TYPE_Trade_type_3,18,1
ORGANIZATION_TYPE_Trade_type_4,0,1
ORGANIZATION_TYPE_Trade_type_5,0,1
ORGANIZATION_TYPE_Trade_type_6,0,1
ORGANIZATION_TYPE_Trade_type_7,30,1
ORGANIZATION_TYPE_Transport_type_1,0,1
ORGANIZATION_TYPE_Transport_type_2,11,1
ORGANIZATION_TYPE_Transport_type_3,90,1
ORGANIZATION_TYPE_Transport_type_4,14,1
ORGANIZATION_TYPE_University,31,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_not_specified,49,1
FONDKAPREMONT_MODE_org_spec_account,33,1
FONDKAPREMONT_MODE_reg_oper_account,34,1
FONDKAPREMONT_MODE_reg_oper_spec_account,38,1
HOUSETYPE_MODE_block_of_flats,5,1
HOUSETYPE_MODE_specific_housing,17,1
HOUSETYPE_MODE_terraced_house,0,1
WALLSMATERIAL_MODE_Block,13,1
WALLSMATERIAL_MODE_Mixed,0,1
WALLSMATERIAL_MODE_Monolithic,8,1
WALLSMATERIAL_MODE_Others,41,1
WALLSMATERIAL_MODE_Panel,31,1
WALLSMATERIAL_MODE_Stone_brick,83,1
WALLSMATERIAL_MODE_Wooden,12,1
EMERGENCYSTATE_MODE_No,0,1
EMERGENCYSTATE_MODE_Yes,2,1
DAYS_EMPLOYED_PERC,2889,1
INCOME_CREDIT_PERC,1843,1
INCOME_PER_PERSON,1531,1
ANNUITY_INCOME_PERC,2191,1
PAYMENT_RATE,3577,1
