feature,importance,fold
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,102,2
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,569,2
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,216,2
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,642,2
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,145,2
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,126,2
PREV_NAME_SELLER_INDUSTRY_Jewelry_MEAN,11,2
PREV_NAME_SELLER_INDUSTRY_MLM_partners_MEAN,0,2
PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0,2
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,290,2
PREV_NAME_SELLER_INDUSTRY_nan_MEAN,0,2
PREV_NAME_YIELD_GROUP_XNA_MEAN,492,2
PREV_NAME_YIELD_GROUP_high_MEAN,1022,2
PREV_NAME_YIELD_GROUP_low_action_MEAN,252,2
PREV_NAME_YIELD_GROUP_low_normal_MEAN,807,2
PREV_NAME_YIELD_GROUP_middle_MEAN,988,2
PREV_NAME_YIELD_GROUP_nan_MEAN,0,2
PREV_PRODUCT_COMBINATION_Card_Street_MEAN,218,2
PREV_PRODUCT_COMBINATION_Card_X_Sell_MEAN,201,2
PREV_PRODUCT_COMBINATION_Cash_MEAN,328,2
PREV_PRODUCT_COMBINATION_Cash_Street_high_MEAN,188,2
PREV_PRODUCT_COMBINATION_Cash_Street_low_MEAN,197,2
PREV_PRODUCT_COMBINATION_Cash_Street_middle_MEAN,174,2
PREV_PRODUCT_COMBINATION_Cash_X_Sell_high_MEAN,310,2
PREV_PRODUCT_COMBINATION_Cash_X_Sell_low_MEAN,358,2
PREV_PRODUCT_COMBINATION_Cash_X_Sell_middle_MEAN,372,2
PREV_PRODUCT_COMBINATION_POS_household_with_interest_MEAN,639,2
PREV_PRODUCT_COMBINATION_POS_household_without_interest_MEAN,227,2
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_MEAN,299,2
PREV_PRODUCT_COMBINATION_POS_industry_without_interest_MEAN,85,2
PREV_PRODUCT_COMBINATION_POS_mobile_with_interest_MEAN,361,2
PREV_PRODUCT_COMBINATION_POS_mobile_without_interest_MEAN,206,2
PREV_PRODUCT_COMBINATION_POS_other_with_interest_MEAN,131,2
PREV_PRODUCT_COMBINATION_POS_others_without_interest_MEAN,6,2
PREV_PRODUCT_COMBINATION_nan_MEAN,0,2
APPROVED_AMT_ANNUITY_MIN,1069,2
APPROVED_AMT_ANNUITY_MAX,919,2
APPROVED_AMT_ANNUITY_MEAN,1231,2
APPROVED_AMT_APPLICATION_MIN,824,2
APPROVED_AMT_APPLICATION_MAX,608,2
APPROVED_AMT_APPLICATION_MEAN,623,2
APPROVED_AMT_CREDIT_MIN,1057,2
APPROVED_AMT_CREDIT_MAX,764,2
APPROVED_AMT_CREDIT_MEAN,716,2
APPROVED_APP_CREDIT_PERC_MIN,1012,2
APPROVED_APP_CREDIT_PERC_MAX,827,2
APPROVED_APP_CREDIT_PERC_MEAN,1135,2
APPROVED_APP_CREDIT_PERC_VAR,1578,2
APPROVED_AMT_DOWN_PAYMENT_MIN,511,2
APPROVED_AMT_DOWN_PAYMENT_MAX,998,2
APPROVED_AMT_DOWN_PAYMENT_MEAN,839,2
APPROVED_AMT_GOODS_PRICE_MIN,718,2
APPROVED_AMT_GOODS_PRICE_MAX,237,2
APPROVED_AMT_GOODS_PRICE_MEAN,593,2
APPROVED_HOUR_APPR_PROCESS_START_MIN,464,2
APPROVED_HOUR_APPR_PROCESS_START_MAX,596,2
APPROVED_HOUR_APPR_PROCESS_START_MEAN,1173,2
APPROVED_RATE_DOWN_PAYMENT_MIN,552,2
APPROVED_RATE_DOWN_PAYMENT_MAX,632,2
APPROVED_RATE_DOWN_PAYMENT_MEAN,834,2
APPROVED_DAYS_DECISION_MIN,954,2
APPROVED_DAYS_DECISION_MAX,1845,2
APPROVED_DAYS_DECISION_MEAN,1175,2
APPROVED_CNT_PAYMENT_MEAN,1090,2
APPROVED_CNT_PAYMENT_SUM,872,2
REFUSED_AMT_ANNUITY_MIN,558,2
REFUSED_AMT_ANNUITY_MAX,456,2
REFUSED_AMT_ANNUITY_MEAN,424,2
REFUSED_AMT_APPLICATION_MIN,231,2
REFUSED_AMT_APPLICATION_MAX,348,2
REFUSED_AMT_APPLICATION_MEAN,246,2
REFUSED_AMT_CREDIT_MIN,510,2
REFUSED_AMT_CREDIT_MAX,292,2
REFUSED_AMT_CREDIT_MEAN,241,2
REFUSED_APP_CREDIT_PERC_MIN,570,2
REFUSED_APP_CREDIT_PERC_MAX,344,2
REFUSED_APP_CREDIT_PERC_MEAN,468,2
REFUSED_APP_CREDIT_PERC_VAR,466,2
REFUSED_AMT_DOWN_PAYMENT_MIN,154,2
REFUSED_AMT_DOWN_PAYMENT_MAX,215,2
REFUSED_AMT_DOWN_PAYMENT_MEAN,119,2
REFUSED_AMT_GOODS_PRICE_MIN,376,2
REFUSED_AMT_GOODS_PRICE_MAX,166,2
REFUSED_AMT_GOODS_PRICE_MEAN,377,2
REFUSED_HOUR_APPR_PROCESS_START_MIN,347,2
REFUSED_HOUR_APPR_PROCESS_START_MAX,223,2
REFUSED_HOUR_APPR_PROCESS_START_MEAN,586,2
REFUSED_RATE_DOWN_PAYMENT_MIN,136,2
REFUSED_RATE_DOWN_PAYMENT_MAX,249,2
REFUSED_RATE_DOWN_PAYMENT_MEAN,117,2
REFUSED_DAYS_DECISION_MIN,574,2
REFUSED_DAYS_DECISION_MAX,773,2
REFUSED_DAYS_DECISION_MEAN,521,2
REFUSED_CNT_PAYMENT_MEAN,353,2
REFUSED_CNT_PAYMENT_SUM,375,2
POS_MONTHS_BALANCE_MAX,924,2
POS_MONTHS_BALANCE_MEAN,1307,2
POS_MONTHS_BALANCE_SIZE,1030,2
POS_SK_DPD_MAX,271,2
POS_SK_DPD_MEAN,510,2
POS_SK_DPD_DEF_MAX,228,2
POS_SK_DPD_DEF_MEAN,441,2
POS_NAME_CONTRACT_STATUS_Active_MEAN,1563,2
POS_NAME_CONTRACT_STATUS_Amortized_debt_MEAN,0,2
POS_NAME_CONTRACT_STATUS_Approved_MEAN,48,2
POS_NAME_CONTRACT_STATUS_Canceled_MEAN,0,2
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1516,2
POS_NAME_CONTRACT_STATUS_Demand_MEAN,0,2
POS_NAME_CONTRACT_STATUS_Returned_to_the_store_MEAN,94,2
POS_NAME_CONTRACT_STATUS_Signed_MEAN,513,2
POS_NAME_CONTRACT_STATUS_XNA_MEAN,0,2
POS_NAME_CONTRACT_STATUS_nan_MEAN,0,2
POS_COUNT,55,2
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,432,2
INSTAL_DPD_MAX,600,2
INSTAL_DPD_MEAN,1307,2
INSTAL_DPD_SUM,665,2
INSTAL_DBD_MAX,1734,2
INSTAL_DBD_MEAN,2242,2
INSTAL_DBD_SUM,1767,2
INSTAL_PAYMENT_PERC_MAX,242,2
INSTAL_PAYMENT_PERC_MEAN,909,2
INSTAL_PAYMENT_PERC_SUM,724,2
INSTAL_PAYMENT_PERC_VAR,970,2
INSTAL_PAYMENT_DIFF_MAX,833,2
INSTAL_PAYMENT_DIFF_MEAN,792,2
INSTAL_PAYMENT_DIFF_SUM,879,2
INSTAL_PAYMENT_DIFF_VAR,825,2
INSTAL_AMT_INSTALMENT_MAX,1025,2
INSTAL_AMT_INSTALMENT_MEAN,1240,2
INSTAL_AMT_INSTALMENT_SUM,878,2
INSTAL_AMT_PAYMENT_MIN,1948,2
INSTAL_AMT_PAYMENT_MAX,912,2
INSTAL_AMT_PAYMENT_MEAN,1285,2
INSTAL_AMT_PAYMENT_SUM,1013,2
INSTAL_DAYS_ENTRY_PAYMENT_MAX,2107,2
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,1298,2
INSTAL_DAYS_ENTRY_PAYMENT_SUM,1301,2
INSTAL_COUNT,697,2
CC_MONTHS_BALANCE_MIN,50,2
CC_MONTHS_BALANCE_MAX,54,2
CC_MONTHS_BALANCE_MEAN,167,2
CC_MONTHS_BALANCE_SUM,138,2
CC_MONTHS_BALANCE_VAR,121,2
CC_AMT_BALANCE_MIN,74,2
CC_AMT_BALANCE_MAX,125,2
CC_AMT_BALANCE_MEAN,122,2
CC_AMT_BALANCE_SUM,126,2
CC_AMT_BALANCE_VAR,105,2
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,168,2
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,111,2
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,421,2
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,359,2
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,367,2
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0,2
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,300,2
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,306,2
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,349,2
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,241,2
CC_AMT_DRAWINGS_CURRENT_MIN,134,2
CC_AMT_DRAWINGS_CURRENT_MAX,192,2
CC_AMT_DRAWINGS_CURRENT_MEAN,217,2
CC_AMT_DRAWINGS_CURRENT_SUM,280,2
CC_AMT_DRAWINGS_CURRENT_VAR,209,2
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0,2
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,72,2
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,22,2
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,86,2
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,75,2
CC_AMT_DRAWINGS_POS_CURRENT_MIN,47,2
CC_AMT_DRAWINGS_POS_CURRENT_MAX,195,2
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,143,2
CC_AMT_DRAWINGS_POS_CURRENT_SUM,195,2
CC_AMT_DRAWINGS_POS_CURRENT_VAR,245,2
CC_AMT_INST_MIN_REGULARITY_MIN,138,2
CC_AMT_INST_MIN_REGULARITY_MAX,119,2
CC_AMT_INST_MIN_REGULARITY_MEAN,166,2
CC_AMT_INST_MIN_REGULARITY_SUM,186,2
CC_AMT_INST_MIN_REGULARITY_VAR,266,2
CC_AMT_PAYMENT_CURRENT_MIN,337,2
CC_AMT_PAYMENT_CURRENT_MAX,394,2
CC_AMT_PAYMENT_CURRENT_MEAN,552,2
CC_AMT_PAYMENT_CURRENT_SUM,301,2
CC_AMT_PAYMENT_CURRENT_VAR,514,2
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,41,2
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,207,2
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,237,2
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,211,2
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,178,2
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,62,2
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,105,2
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,128,2
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,128,2
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,137,2
CC_AMT_RECIVABLE_MIN,117,2
CC_AMT_RECIVABLE_MAX,49,2
CC_AMT_RECIVABLE_MEAN,118,2
CC_AMT_RECIVABLE_SUM,60,2
CC_AMT_RECIVABLE_VAR,81,2
CC_AMT_TOTAL_RECEIVABLE_MIN,23,2
CC_AMT_TOTAL_RECEIVABLE_MAX,20,2
CC_AMT_TOTAL_RECEIVABLE_MEAN,15,2
CC_AMT_TOTAL_RECEIVABLE_SUM,12,2
CC_AMT_TOTAL_RECEIVABLE_VAR,35,2
CC_CNT_DRAWINGS_ATM_CURRENT_MIN,0,2
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,97,2
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,395,2
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,244,2
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,396,2
CC_CNT_DRAWINGS_CURRENT_MIN,25,2
CC_CNT_DRAWINGS_CURRENT_MAX,157,2
CC_CNT_DRAWINGS_CURRENT_MEAN,338,2
CC_CNT_DRAWINGS_CURRENT_SUM,266,2
CC_CNT_DRAWINGS_CURRENT_VAR,332,2
CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0,2
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0,2
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,65,2
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0,2
CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,37,2
CC_CNT_DRAWINGS_POS_CURRENT_MIN,38,2
CC_CNT_DRAWINGS_POS_CURRENT_MAX,116,2
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,164,2
CC_CNT_DRAWINGS_POS_CURRENT_SUM,190,2
CC_CNT_DRAWINGS_POS_CURRENT_VAR,157,2
CC_CNT_INSTALMENT_MATURE_CUM_MIN,33,2
CC_CNT_INSTALMENT_MATURE_CUM_MAX,64,2
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,215,2
CC_CNT_INSTALMENT_MATURE_CUM_SUM,121,2
CC_CNT_INSTALMENT_MATURE_CUM_VAR,256,2
CC_SK_DPD_MIN,0,2
CC_SK_DPD_MAX,32,2
CC_SK_DPD_MEAN,56,2
CC_SK_DPD_SUM,139,2
CC_SK_DPD_VAR,34,2
CC_SK_DPD_DEF_MIN,0,2
CC_SK_DPD_DEF_MAX,0,2
CC_SK_DPD_DEF_MEAN,185,2
CC_SK_DPD_DEF_SUM,42,2
CC_SK_DPD_DEF_VAR,100,2
CC_NAME_CONTRACT_STATUS_Active_MIN,9,2
CC_NAME_CONTRACT_STATUS_Active_MAX,0,2
CC_NAME_CONTRACT_STATUS_Active_MEAN,90,2
CC_NAME_CONTRACT_STATUS_Active_SUM,129,2
CC_NAME_CONTRACT_STATUS_Active_VAR,69,2
CC_NAME_CONTRACT_STATUS_Approved_MIN,0,2
CC_NAME_CONTRACT_STATUS_Approved_MAX,0,2
CC_NAME_CONTRACT_STATUS_Approved_MEAN,0,2
CC_NAME_CONTRACT_STATUS_Approved_SUM,0,2
CC_NAME_CONTRACT_STATUS_Approved_VAR,0,2
CC_NAME_CONTRACT_STATUS_Completed_MIN,0,2
CC_NAME_CONTRACT_STATUS_Completed_MAX,0,2
CC_NAME_CONTRACT_STATUS_Completed_MEAN,88,2
CC_NAME_CONTRACT_STATUS_Completed_SUM,35,2
CC_NAME_CONTRACT_STATUS_Completed_VAR,61,2
CC_NAME_CONTRACT_STATUS_Demand_MIN,0,2
CC_NAME_CONTRACT_STATUS_Demand_MAX,0,2
CC_NAME_CONTRACT_STATUS_Demand_MEAN,0,2
CC_NAME_CONTRACT_STATUS_Demand_SUM,0,2
CC_NAME_CONTRACT_STATUS_Demand_VAR,0,2
CC_NAME_CONTRACT_STATUS_Refused_MIN,0,2
CC_NAME_CONTRACT_STATUS_Refused_MAX,0,2
CC_NAME_CONTRACT_STATUS_Refused_MEAN,0,2
CC_NAME_CONTRACT_STATUS_Refused_SUM,0,2
CC_NAME_CONTRACT_STATUS_Refused_VAR,0,2
CC_NAME_CONTRACT_STATUS_Sent_proposal_MIN,0,2
CC_NAME_CONTRACT_STATUS_Sent_proposal_MAX,0,2
CC_NAME_CONTRACT_STATUS_Sent_proposal_MEAN,0,2
CC_NAME_CONTRACT_STATUS_Sent_proposal_SUM,0,2
CC_NAME_CONTRACT_STATUS_Sent_proposal_VAR,0,2
CC_NAME_CONTRACT_STATUS_Signed_MIN,0,2
CC_NAME_CONTRACT_STATUS_Signed_MAX,1,2
CC_NAME_CONTRACT_STATUS_Signed_MEAN,7,2
CC_NAME_CONTRACT_STATUS_Signed_SUM,0,2
CC_NAME_CONTRACT_STATUS_Signed_VAR,57,2
CC_NAME_CONTRACT_STATUS_nan_MIN,0,2
CC_NAME_CONTRACT_STATUS_nan_MAX,0,2
CC_NAME_CONTRACT_STATUS_nan_MEAN,0,2
CC_NAME_CONTRACT_STATUS_nan_SUM,0,2
CC_NAME_CONTRACT_STATUS_nan_VAR,0,2
CC_COUNT,20,2
CODE_GENDER,340,3
FLAG_OWN_CAR,28,3
FLAG_OWN_REALTY,123,3
CNT_CHILDREN,165,3
AMT_INCOME_TOTAL,1116,3
AMT_CREDIT,1698,3
AMT_ANNUITY,2132,3
AMT_GOODS_PRICE,1561,3
REGION_POPULATION_RELATIVE,2168,3
DAYS_BIRTH,2900,3
DAYS_EMPLOYED,2914,3
DAYS_REGISTRATION,2749,3
DAYS_ID_PUBLISH,2548,3
OWN_CAR_AGE,1219,3
FLAG_MOBIL,0,3
FLAG_EMP_PHONE,0,3
FLAG_WORK_PHONE,213,3
FLAG_CONT_MOBILE,0,3
FLAG_PHONE,125,3
FLAG_EMAIL,23,3
CNT_FAM_MEMBERS,198,3
REGION_RATING_CLIENT,72,3
REGION_RATING_CLIENT_W_CITY,207,3
HOUR_APPR_PROCESS_START,991,3
REG_REGION_NOT_LIVE_REGION,26,3
REG_REGION_NOT_WORK_REGION,21,3
LIVE_REGION_NOT_WORK_REGION,8,3
REG_CITY_NOT_LIVE_CITY,119,3
REG_CITY_NOT_WORK_CITY,64,3
LIVE_CITY_NOT_WORK_CITY,70,3
EXT_SOURCE_1,2923,3
EXT_SOURCE_2,3631,3
EXT_SOURCE_3,3545,3
APARTMENTS_AVG,348,3
BASEMENTAREA_AVG,509,3
YEARS_BEGINEXPLUATATION_AVG,422,3
YEARS_BUILD_AVG,282,3
COMMONAREA_AVG,352,3
ELEVATORS_AVG,129,3
ENTRANCES_AVG,320,3
FLOORSMAX_AVG,289,3
FLOORSMIN_AVG,130,3
LANDAREA_AVG,601,3
LIVINGAPARTMENTS_AVG,247,3
LIVINGAREA_AVG,467,3
NONLIVINGAPARTMENTS_AVG,225,3
NONLIVINGAREA_AVG,510,3
APARTMENTS_MODE,606,3
BASEMENTAREA_MODE,570,3
YEARS_BEGINEXPLUATATION_MODE,604,3
YEARS_BUILD_MODE,374,3
COMMONAREA_MODE,412,3
ELEVATORS_MODE,72,3
ENTRANCES_MODE,180,3
FLOORSMAX_MODE,73,3
FLOORSMIN_MODE,175,3
LANDAREA_MODE,671,3
LIVINGAPARTMENTS_MODE,401,3
LIVINGAREA_MODE,523,3
NONLIVINGAPARTMENTS_MODE,108,3
NONLIVINGAREA_MODE,460,3
APARTMENTS_MEDI,444,3
BASEMENTAREA_MEDI,412,3
YEARS_BEGINEXPLUATATION_MEDI,468,3
YEARS_BUILD_MEDI,203,3
COMMONAREA_MEDI,317,3
ELEVATORS_MEDI,71,3
ENTRANCES_MEDI,131,3
FLOORSMAX_MEDI,43,3
FLOORSMIN_MEDI,175,3
LANDAREA_MEDI,506,3
LIVINGAPARTMENTS_MEDI,287,3
LIVINGAREA_MEDI,429,3
NONLIVINGAPARTMENTS_MEDI,84,3
NONLIVINGAREA_MEDI,406,3
TOTALAREA_MODE,1059,3
OBS_30_CNT_SOCIAL_CIRCLE,470,3
DEF_30_CNT_SOCIAL_CIRCLE,151,3
OBS_60_CNT_SOCIAL_CIRCLE,477,3
DEF_60_CNT_SOCIAL_CIRCLE,169,3
DAYS_LAST_PHONE_CHANGE,2226,3
FLAG_DOCUMENT_2,0,3
FLAG_DOCUMENT_3,166,3
FLAG_DOCUMENT_4,0,3
FLAG_DOCUMENT_5,29,3
FLAG_DOCUMENT_6,33,3
FLAG_DOCUMENT_7,0,3
FLAG_DOCUMENT_8,54,3
FLAG_DOCUMENT_9,0,3
FLAG_DOCUMENT_10,0,3
FLAG_DOCUMENT_11,36,3
FLAG_DOCUMENT_12,0,3
FLAG_DOCUMENT_13,0,3
FLAG_DOCUMENT_14,0,3
FLAG_DOCUMENT_15,0,3
FLAG_DOCUMENT_16,67,3
FLAG_DOCUMENT_17,0,3
FLAG_DOCUMENT_18,78,3
FLAG_DOCUMENT_19,0,3
FLAG_DOCUMENT_20,0,3
FLAG_DOCUMENT_21,0,3
AMT_REQ_CREDIT_BUREAU_HOUR,0,3
AMT_REQ_CREDIT_BUREAU_DAY,51,3
AMT_REQ_CREDIT_BUREAU_WEEK,24,3
AMT_REQ_CREDIT_BUREAU_MON,159,3
AMT_REQ_CREDIT_BUREAU_QRT,225,3
AMT_REQ_CREDIT_BUREAU_YEAR,424,3
NAME_CONTRACT_TYPE_Cash_loans,101,3
NAME_CONTRACT_TYPE_Revolving_loans,7,3
NAME_TYPE_SUITE_Children,17,3
NAME_TYPE_SUITE_Family,51,3
NAME_TYPE_SUITE_Group_of_people,0,3
NAME_TYPE_SUITE_Other_A,0,3
NAME_TYPE_SUITE_Other_B,40,3
NAME_TYPE_SUITE_Spouse_partner,45,3
NAME_TYPE_SUITE_Unaccompanied,108,3
NAME_INCOME_TYPE_Businessman,0,3
NAME_INCOME_TYPE_Commercial_associate,84,3
NAME_INCOME_TYPE_Maternity_leave,0,3
NAME_INCOME_TYPE_Pensioner,0,3
NAME_INCOME_TYPE_State_servant,37,3
NAME_INCOME_TYPE_Student,0,3
NAME_INCOME_TYPE_Unemployed,0,3
NAME_INCOME_TYPE_Working,162,3
NAME_EDUCATION_TYPE_Academic_degree,0,3
NAME_EDUCATION_TYPE_Higher_education,87,3
NAME_EDUCATION_TYPE_Incomplete_higher,55,3
NAME_EDUCATION_TYPE_Lower_secondary,30,3
NAME_EDUCATION_TYPE_Secondary_secondary_special,103,3
NAME_FAMILY_STATUS_Civil_marriage,20,3
NAME_FAMILY_STATUS_Married,250,3
NAME_FAMILY_STATUS_Separated,27,3
NAME_FAMILY_STATUS_Single_not_married,63,3
NAME_FAMILY_STATUS_Unknown,0,3
NAME_FAMILY_STATUS_Widow,50,3
NAME_HOUSING_TYPE_Co_op_apartment,0,3
NAME_HOUSING_TYPE_House_apartment,100,3
NAME_HOUSING_TYPE_Municipal_apartment,46,3
NAME_HOUSING_TYPE_Office_apartment,57,3
NAME_HOUSING_TYPE_Rented_apartment,26,3
NAME_HOUSING_TYPE_With_parents,8,3
OCCUPATION_TYPE_Accountants,53,3
OCCUPATION_TYPE_Cleaning_staff,13,3
OCCUPATION_TYPE_Cooking_staff,20,3
OCCUPATION_TYPE_Core_staff,41,3
OCCUPATION_TYPE_Drivers,89,3
OCCUPATION_TYPE_HR_staff,0,3
OCCUPATION_TYPE_High_skill_tech_staff,57,3
OCCUPATION_TYPE_IT_staff,0,3
OCCUPATION_TYPE_Laborers,141,3
OCCUPATION_TYPE_Low_skill_Laborers,27,3
OCCUPATION_TYPE_Managers,4,3
OCCUPATION_TYPE_Medicine_staff,62,3
OCCUPATION_TYPE_Private_service_staff,23,3
OCCUPATION_TYPE_Realty_agents,0,3
OCCUPATION_TYPE_Sales_staff,65,3
OCCUPATION_TYPE_Secretaries,23,3
OCCUPATION_TYPE_Security_staff,28,3
OCCUPATION_TYPE_Waiters_barmen_staff,25,3
WEEKDAY_APPR_PROCESS_START_FRIDAY,147,3
WEEKDAY_APPR_PROCESS_START_MONDAY,78,3
WEEKDAY_APPR_PROCESS_START_SATURDAY,66,3
WEEKDAY_APPR_PROCESS_START_SUNDAY,26,3
WEEKDAY_APPR_PROCESS_START_THURSDAY,3,3
WEEKDAY_APPR_PROCESS_START_TUESDAY,110,3
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,98,3
ORGANIZATION_TYPE_Advertising,0,3
ORGANIZATION_TYPE_Agriculture,10,3
ORGANIZATION_TYPE_Bank,43,3
ORGANIZATION_TYPE_Business_Entity_Type_1,33,3
ORGANIZATION_TYPE_Business_Entity_Type_2,4,3
ORGANIZATION_TYPE_Business_Entity_Type_3,148,3
ORGANIZATION_TYPE_Cleaning,0,3
ORGANIZATION_TYPE_Construction,105,3
ORGANIZATION_TYPE_Culture,0,3
ORGANIZATION_TYPE_Electricity,11,3
ORGANIZATION_TYPE_Emergency,0,3
ORGANIZATION_TYPE_Government,32,3
ORGANIZATION_TYPE_Hotel,34,3
ORGANIZATION_TYPE_Housing,26,3
ORGANIZATION_TYPE_Industry_type_1,0,3
ORGANIZATION_TYPE_Industry_type_10,0,3
ORGANIZATION_TYPE_Industry_type_11,1,3
ORGANIZATION_TYPE_Industry_type_12,0,3
ORGANIZATION_TYPE_Industry_type_13,0,3
ORGANIZATION_TYPE_Industry_type_2,0,3
ORGANIZATION_TYPE_Industry_type_3,34,3
ORGANIZATION_TYPE_Industry_type_4,14,3
ORGANIZATION_TYPE_Industry_type_5,0,3
ORGANIZATION_TYPE_Industry_type_6,0,3
ORGANIZATION_TYPE_Industry_type_7,5,3
ORGANIZATION_TYPE_Industry_type_8,0,3
ORGANIZATION_TYPE_Industry_type_9,100,3
ORGANIZATION_TYPE_Insurance,0,3
ORGANIZATION_TYPE_Kindergarten,58,3
ORGANIZATION_TYPE_Legal_Services,0,3
ORGANIZATION_TYPE_Medicine,57,3
ORGANIZATION_TYPE_Military,95,3
ORGANIZATION_TYPE_Mobile,0,3
ORGANIZATION_TYPE_Other,35,3
ORGANIZATION_TYPE_Police,52,3
ORGANIZATION_TYPE_Postal,2,3
ORGANIZATION_TYPE_Realtor,0,3
ORGANIZATION_TYPE_Religion,0,3
ORGANIZATION_TYPE_Restaurant,40,3
ORGANIZATION_TYPE_School,68,3
ORGANIZATION_TYPE_Security,7,3
ORGANIZATION_TYPE_Security_Ministries,39,3
ORGANIZATION_TYPE_Self_employed,142,3
ORGANIZATION_TYPE_Services,27,3
ORGANIZATION_TYPE_Telecom,0,3
ORGANIZATION_TYPE_Trade_type_1,0,3
ORGANIZATION_TYPE_Trade_type_2,14,3
ORGANIZATION_TYPE_Trade_type_3,26,3
ORGANIZATION_TYPE_Trade_type_4,0,3
ORGANIZATION_TYPE_Trade_type_5,0,3
ORGANIZATION_TYPE_Trade_type_6,0,3
ORGANIZATION_TYPE_Trade_type_7,15,3
ORGANIZATION_TYPE_Transport_type_1,0,3
ORGANIZATION_TYPE_Transport_type_2,9,3
ORGANIZATION_TYPE_Transport_type_3,112,3
ORGANIZATION_TYPE_Transport_type_4,23,3
ORGANIZATION_TYPE_University,14,3
ORGANIZATION_TYPE_XNA,0,3
FONDKAPREMONT_MODE_not_specified,40,3
FONDKAPREMONT_MODE_org_spec_account,33,3
FONDKAPREMONT_MODE_reg_oper_account,57,3
FONDKAPREMONT_MODE_reg_oper_spec_account,24,3
HOUSETYPE_MODE_block_of_flats,0,3
HOUSETYPE_MODE_specific_housing,11,3
HOUSETYPE_MODE_terraced_house,8,3
WALLSMATERIAL_MODE_Block,41,3
WALLSMATERIAL_MODE_Mixed,19,3
WALLSMATERIAL_MODE_Monolithic,1,3
WALLSMATERIAL_MODE_Others,33,3
WALLSMATERIAL_MODE_Panel,47,3
WALLSMATERIAL_MODE_Stone_brick,62,3
WALLSMATERIAL_MODE_Wooden,6,3
EMERGENCYSTATE_MODE_No,2,3
EMERGENCYSTATE_MODE_Yes,23,3
DAYS_EMPLOYED_PERC,2713,3
INCOME_CREDIT_PERC,1749,3
INCOME_PER_PERSON,1614,3
ANNUITY_INCOME_PERC,2365,3
PAYMENT_RATE,3708,3
BURO_DAYS_CREDIT_MIN,1190,3
BURO_DAYS_CREDIT_MAX,1544,3
BURO_DAYS_CREDIT_MEAN,1353,3
BURO_DAYS_CREDIT_VAR,1700,3
BURO_DAYS_CREDIT_ENDDATE_MIN,1126,3
BURO_DAYS_CREDIT_ENDDATE_MAX,1268,3
BURO_DAYS_CREDIT_ENDDATE_MEAN,1537,3
BURO_DAYS_CREDIT_UPDATE_MEAN,1415,3
